BAVU001c01a_T4SS_typeB_2	GCF0000132
MURU001c01a_T4SS_typeB_1	GCF0000133
ANVA001c01a_T5bSS_1	GCF0000134
CYTC005c01a_T5bSS_1	GCF0000135
OSAC001c01a_T5bSS_2	GCF0000136
CYTC003c01a_T1SS_3	GCF0000137
LE73001c01a_T1SS_2	GCF0000138
CYTC001c01a_T1SS_3	GCF0000139
SYPC005c01a_T1SS_1	GCF0000140
STCY001c01a_T5bSS_1	GCF0000141
ANCY001c01a_T5bSS_3	GCF0000142
BAAU001c01a_T5aSS_1	GCF0000143
SHBA007p01a_T4SS_typeF_1	GCF0000144
RIFE001c01a_T5aSS_6	GCF0000145
CYTC003c01a_T5bSS_1	GCF0000146
CYTC006c01a_T5bSS_1	GCF0000147
STMO001c01a_T4SS_typeT_1	GCF0000148
STMO001c01a_T5cSS_14	GCF0000149
STMO001c01a_T5cSS_10	GCF0000150
DEAC001c01a_T5bSS_1	GCF0000151
LE73001c01a_T5bSS_1	GCF0000152
SYCC003c01a_T5aSS_1	GCF0000153
LEPN008c01a_T4SS_typeG_2	GCF0000154
BROL001c01a_T5aSS_6	GCF0000155
BRJA001c01a_T5bSS_1	GCF0000156
HEPY044c01a_T4SS_typeT_1	GCF0000157
HEPY029c01a_T4SS_typeT_1	GCF0000158
HEPY006c01a_T4SS_typeT_2	GCF0000159
HECE001c01a_T4SS_typeT_1	GCF0000160
HECI002c01a_pT4SSt_1	GCF0000161
CAFE001c01a_T5aSS_1	GCF0000162
CAJE015p01a_T4SS_typeT_1	GCF0000163
CAHO001c01a_T4SS_typeT_1	GCF0000164
CACO001c01a_T5bSS_1	GCF0000165
CACO001p01a_T5bSS_1	GCF0000166
ACXY001c01a_T5aSS_3	GCF0000167
AGTU001p01a_T5aSS_1	GCF0000168
AGTU001p01a_T5aSS_2	GCF0000169
RHVA001c01a_pT4SSt_2	GCF0000170
CACL003p01a_T4SS_typeT_1	GCF0000171
MESI001p01a_T4SS_typeT_1	GCF0000172
AZLI001p02a_T1SS_1	GCF0000173
ACDR001c01a_T5bSS_1	GCF0000174
ACBA011c01a_T5bSS_1	GCF0000175
ACSP001c01a_T5bSS_2	GCF0000176
RHPA001c01a_T5aSS_3	GCF0000177
XAOR002c01a_T5aSS_4	GCF0000178
RH2A001c01a_T5aSS_1	GCF0000179
STML004c01a_T5aSS_1	GCF0000180
COFU001c01a_T5aSS_5	GCF0000181
STML004c01a_T1SS_1	GCF0000182
ME44000c01a_T5aSS_1	GCF0000183
RHIR001c02a_T5aSS_2	GCF0000184
CHPH001c01a_T5aSS_1	GCF0000185
DESA001c01a_T4SS_typeT_1	GCF0000186
RHPP001p01a_T3SS_1	GCF0000187
BRJA001c01a_T3SS_1	GCF0000188
BROL001c01a_T3SS_1	GCF0000189
PAAM001c01a_T3SS_1	GCF0000190
OWHO001c01a_T1SS_1	GCF0000191
PSTO001c01a_T1SS_1	GCF0000192
KR4H001c01a_T1SS_1	GCF0000193
FLJO001c01a_T1SS_2	GCF0000194
CRAT001c01a_T1SS_1	GCF0000195
FLBR001c01a_T1SS_1	GCF0000196
FLCO001c01a_T1SS_1	GCF0000197
ZUPR001c01a_T1SS_1	GCF0000198
MATR001c01a_T1SS_1	GCF0000199
NOPU001p02a_T4SS_typeC_1	GCF0000200
NOPU001p03a_T4SS_typeC_1	GCF0000201
PRMA010c01a_T5cSS_1	GCF0000202
SYCC003c01a_T5cSS_1	GCF0000203
CREP001c01a_T1SS_1	GCF0000204
NOPU001c01a_T1SS_1	GCF0000205
CYSA001c01a_T5bSS_1	GCF0000206
CHTA001c01a_T5bSS_1	GCF0000207
THEL001c01a_T5cSS_1	GCF0000208
SYPP001c01a_T5cSS_1	GCF0000209
SYPP002c01a_T5cSS_3	GCF0000210
SYPP003c01a_T5bSS_1	GCF0000211
SYCC001c01a_T5aSS_2	GCF0000212
SYCC003c01a_T1SS_2	GCF0000213
